name,gu,dong,lat,lng,road_address,returned_gu,returned_dong,confidence,source
삼성파크아파트,강남구,삼성동,37.5092338175855,127.053836835551,서울특별시 강남구 삼성동 126,강남구,삼성동,HIGH,kakao_address_api
세방하이빌,강남구,역삼동,37.4973092755439,127.04283692356,서울특별시 강남구 역삼동 771-4,강남구,역삼동,HIGH,kakao_address_api
지밸리소홈,영등포구,대림동,37.486586968186,126.900207675003,서울특별시 영등포구 도림천로19길 11,영등포구,대림동,HIGH,kakao_address_api
문래롯데캐슬아파트,영등포구,문래동6가,37.518402286084,126.884865636756,서울특별시 영등포구 선유로9길 30,영등포구,문래동6가,HIGH,kakao_address_api
용답동힐데스하임 청년주택,성동구,용답동,37.5609927038052,127.065100778662,서울특별시 성동구 천호대로 416,성동구,용답동,HIGH,kakao_address_api
개봉역 센트레빌레우스,구로구,개봉동,37.4956939531171,126.855990711712,서울특별시 구로구 경인로 302,구로구,개봉동,HIGH,kakao_address_api
더클래식동작,동작구,노량진동,37.5123712815087,126.938564785768,서울특별시 동작구 노량진로8길 55,동작구,노량진동,HIGH,kakao_address_api
여의도더리브스타일,영등포구,영등포동1가,37.5176921431262,126.912647744146,서울특별시 영등포구 경인로 900,영등포구,영등포동1가,HIGH,kakao_address_api
지웰홈스 왕십리,성동구,행당동,37.563404956031,127.037767815269,서울특별시 성동구 고산자로14길 26,성동구,행당동,HIGH,kakao_address_api
이랜드PEER 신촌 청년주택,마포구,창전동,37.5496213115505,126.931255709052,서울특별시 마포구 서강로 75-16,마포구,창전동,HIGH,kakao_address_api
강동리버스트6단지,강동구,강일동,37.5697360949983,127.171577820993,서울특별시 강동구 아리수로93가길 77,강동구,강일동,HIGH,kakao_address_api
오렌지카운티 을지로,중구,오장동,37.5652276672427,127.001411116707,서울특별시 중구 동호로33길 15,중구,오장동,HIGH,kakao_address_api
서울휘경행복주택,동대문구,휘경동,37.5868243246415,127.070111099288,서울특별시 동대문구 장안벚꽃로 317,동대문구,휘경동,HIGH,kakao_address_api
청신호 행복주택 정릉하늘마루,성북구,정릉동,37.6068882387231,127.000041110205,서울특별시 성북구 정릉로10가길 6-31,성북구,정릉동,HIGH,kakao_address_api
서초꽃마을주얼리,서초구,서초동,37.4896931057588,127.007604684245,서울특별시 서초구 반포대로27길 13,서초구,서초동,HIGH,kakao_address_api
이문휘경지웰에스테이트,동대문구,휘경동,37.5945752100931,127.063902128929,서울특별시 동대문구 외대역동로 63-12,동대문구,휘경동,HIGH,kakao_address_api
수유역푸르지오시티,강북구,미아동,37.6342034297487,127.023773791961,서울특별시 강북구 도봉로 290,강북구,미아동,HIGH,kakao_address_api
강동리엔파크13단지아파트,강동구,상일동,37.5520980246206,127.181049161678,서울특별시 강동구 고덕로98길 161,강동구,상일동,HIGH,kakao_address_api
칼튼테라스,중랑구,묵동,37.6118425179795,127.078245490703,서울특별시 중랑구 공릉로2길 8-4,중랑구,묵동,HIGH,kakao_address_api
로프트원 태릉입구역,중랑구,묵동,37.6153331239502,127.076880465585,서울특별시 중랑구 동일로 952,중랑구,묵동,HIGH,kakao_address_api
더플레이스충정로,중구,중림동,37.558980785321,126.966068233101,서울특별시 중구 중림로 21,중구,중림동,HIGH,kakao_address_api
천호역한강청년주택,강동구,천호동,37.5394614693313,127.122399341784,서울특별시 강동구 천호대로 989,강동구,천호동,HIGH,kakao_address_api
고척아이파크RD,구로구,고척동,37.5014057554418,126.859404270704,서울특별시 구로구 중앙로5길 59,구로구,고척동,HIGH,kakao_address_api
한일베라체캠퍼스,동대문구,회기동,37.5908011291028,127.056117386349,서울특별시 동대문구 이문로 37,동대문구,회기동,HIGH,kakao_address_api
포레나 당산,영등포구,당산동2가,37.522057531502,126.89528677963,서울특별시 영등포구 당산로 83,영등포구,당산동2가,HIGH,kakao_address_api
구로오네뜨시티,구로구,구로동,37.4963996027511,126.890291049446,서울특별시 구로구 가마산로 271,구로구,구로동,HIGH,kakao_address_api
리마크빌 군자,광진구,중곡동,37.5588819324758,127.076249404252,서울특별시 광진구 천호대로 517,광진구,중곡동,HIGH,kakao_address_api
현대썬앤빌601,동대문구,장안동,37.569150253828,127.06933454445,서울특별시 동대문구 장한로 91,동대문구,장안동,HIGH,kakao_address_api
